,open,close,high,low,volume,H-L,H-PC,L-PC,TR,ATR,Upper Basic,Lower Basic,Upper Band,Lower Band,SuperTrend
1015,324.9,323.65,325.0,323.4,0,1.6000000000000227,0.6000000000000227,1.0,1.6000000000000227,0.7441187834819226,326.43235635044573,321.96764364955425,326.43235635044573,323.08444988520483,323.08444988520483
1016,324.4,323.1,324.4,323.55,0,0.8499999999999659,0.75,0.0999999999999659,0.8499999999999659,0.7573539355466781,326.24706180664003,321.70293819336,326.24706180664003,323.08444988520483,323.08444988520483
1017,323.9,323.45,323.9,322.45,0,1.4499999999999886,0.7999999999999545,0.6500000000000341,1.4499999999999886,0.8439346936033418,325.70680408081,320.6431959191899,325.70680408081,323.08444988520483,323.08444988520483
1018,323.0,323.2,323.6,322.8,0,0.8000000000000114,0.1500000000000341,0.6499999999999773,0.8000000000000114,0.8384428569029255,325.71532857070883,320.68467142929126,325.70680408081,323.08444988520483,323.08444988520483
1019,323.45,325.35,323.55,323.0,0,0.5500000000000114,0.35000000000002274,0.19999999999998863,0.5500000000000114,0.8023874997900613,325.6821624993702,320.8678375006298,325.6821624993702,323.08444988520483,323.08444988520483
1020,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.8208390623163093,327.2875171869489,322.3624828130511,325.6821624993702,323.08444988520483,323.08444988520483
1021,325.25,324.95,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.8244841795267734,327.6234525385803,322.67654746141966,325.6821624993702,323.08444988520483,323.08444988520483
1022,324.65,323.6,324.9,324.65,0,0.25,0.05000000000001137,0.30000000000001137,0.30000000000001137,0.7589236570859281,327.0517709712578,322.4982290287422,325.6821624993702,323.08444988520483,323.08444988520483
1023,324.9,324.0,325.0,323.4,0,1.6000000000000227,1.3999999999999773,0.20000000000004547,1.6000000000000227,0.86405819995019,326.79217459985057,321.6078254001494,325.6821624993702,323.08444988520483,323.08444988520483
1024,323.5,324.4,324.0,323.4,0,0.6000000000000227,0.0,0.6000000000000227,0.6000000000000227,0.8310509249564191,326.19315277486925,321.20684722513073,325.6821624993702,323.08444988520483,323.08444988520483
